RoleID,RoleName,DutyName,,,,
ANONYMOUSAPPLICANT,Applicant anonymous (external),Maintain external applications for employment,,,,
ANONYMOUSAPPLICANT,Applicant anonymous (external),Inquire into anonymous use of basic functionality,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into fixed assets,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into fixed asset policies,,,,
AUDITPOLICYMANAGER,Auditor,Review fixed assets process performance,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into bank management policies,,,,
AUDITPOLICYMANAGER,Auditor,Review bank management process performance,,,,
AUDITPOLICYMANAGER,Auditor,Review budget control process performance,,,,
AUDITPOLICYMANAGER,Auditor,Review budget process performance,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into budget master,,,,
AUDITPOLICYMANAGER,Auditor,View budget plans,,,,
AUDITPOLICYMANAGER,Auditor,Review collections process performance,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into audit policies,,,,
AUDITPOLICYMANAGER,Auditor,Maintain audit policies,,,,
AUDITPOLICYMANAGER,Auditor,Review credit cards process performance,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into customer master,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into customer reference data,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into invoice and cash policies,,,,
AUDITPOLICYMANAGER,Auditor,Review invoice and cash process performance,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into general ledger policies,,,,
AUDITPOLICYMANAGER,Auditor,Review general ledger process performance,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into journals and transaction status,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into purchasing policies,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into purchasing policies for public sector,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into purchase order to invoice policies,,,,
AUDITPOLICYMANAGER,Auditor,Review EU sales list process performance,,,,
AUDITPOLICYMANAGER,Auditor,Review sales taxes process performance,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into sales tax policies,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into expense management policies,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into invoice and payment policies,,,,
AUDITPOLICYMANAGER,Auditor,Review invoice and payment process performance,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into vendor master,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into vendor process,,,,
AUDITPOLICYMANAGER,Auditor,Generate DIOT declaration,,,,
AUDITPOLICYMANAGER,Auditor,Generate ISR report,,,,
AUDITPOLICYMANAGER,Auditor,View Inflation adjustment B-10,,,,
AUDITPOLICYMANAGER,Auditor,View informational vendor 1099 reports,,,,
AUDITPOLICYMANAGER,Auditor,View sensitive customer information,,,,
AUDITPOLICYMANAGER,Auditor,View sensitive customer bank account information,,,,
AUDITPOLICYMANAGER,Auditor,View sensitive vendor bank account information,,,,
AUDITPOLICYMANAGER,Auditor,Review general ledger process performance,,,,
AUDITPOLICYMANAGER,Auditor,View tax document temporary table,,,,
AUDITPOLICYMANAGER,Auditor,View tax document transit relation,,,,
AUDITPOLICYMANAGER,Auditor,View relationship between mapping table and attribute table,,,,
AUDITPOLICYMANAGER,Auditor,View tax document transaction,,,,
AUDITPOLICYMANAGER,Auditor,View tax document,,,,
AUDITPOLICYMANAGER,Auditor,Generate financial reports,,,,
AUDITPOLICYMANAGER,Auditor,Review financial performance,,,,
AUDITPOLICYMANAGER,Auditor,View multisource policies,,,,
AUDITPOLICYMANAGER,Auditor,View multisource policy assignments,,,,
AUDITPOLICYMANAGER,Auditor,View multisource order quantity per vendor,,,,
AUDITPOLICYMANAGER,Auditor,View multisource policy assignments details,,,,
AUDITPOLICYMANAGER,Auditor,View multisource vendor order quantity details,,,,
AUDITPOLICYMANAGER,Auditor,View multisource policy entries details,,,,
AUDITPOLICYMANAGER,Auditor,View multisource policy details,,,,
AUDITPOLICYMANAGER,Auditor,View financial insights current company,,,,
AUDITPOLICYMANAGER,Auditor,Inquiries into price component for sales posting,,,,
AUDITPOLICYMANAGER,Auditor,Inquire into general ledger policies,,,,
AUDITPOLICYMANAGER,Auditor,Inquiries into discount claim posting,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain activation of BOMs,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain BOM calculation master,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain BOM master,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain cases,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain inventory cases,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain all category hierarchy details,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain product categorization,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain products definition master,,,,
BOMPRODUCTDESIGNER,Product designer,Enhanced preview for released products,,,,
BOMPRODUCTDESIGNER,Product designer,Inquire into product management policies,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain release of products,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain product supply policies,,,,
BOMPRODUCTDESIGNER,Product designer,View fiscal document source texts,,,,
BOMPRODUCTDESIGNER,Product designer,View basic information about workers in the system,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain products for operations master,,,,
BOMPRODUCTDESIGNER,Product designer,View product types,,,,
BOMPRODUCTDESIGNER,Product designer,Maintain product type,,,,
